dip,mag,rake,ztor,vs30,z1pt0,rjb,rrup,rx,ry0,width,vs30measured,src_id,rup_id,sids,occurrence_rate,mean,sta_id,hypo_depth,z2pt5
47.67887335,7.01,-90,0,562,1,0.32098252,20,13.83968561,16,10,TRUE,0,1,0,0.000106833,0.462558899,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982511,30,13.83968561,16,10,TRUE,0,2,0,0.000106833,0.463904184,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982498,40,13.83968561,16,10,TRUE,0,3,,0.000106833,0.46435814,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982476,50,13.83968561,16,10,TRUE,0,4,0,0.000106833,0.465920915,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982449,60,13.83968561,16,10,TRUE,0,5,0,0.000106833,0.466121394,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982527,70,12.60274382,16,10,TRUE,0,6,0,0.000106833,0.433077472,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,80,12.60274382,16,10,TRUE,0,7,0,0.000106833,0.435831446,3,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,90,12.60274382,16,10,TRUE,0,8,0,0.000106833,0.436816261,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982509,100,12.60274382,16,10,TRUE,0,9,0,0.000106833,0.437148927,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982492,150,12.60274382,16,10,TRUE,0,10,0,0.000106833,0.438286591,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982469,200,12.60274382,16,10,TRUE,0,11,0,0.000106833,0.438432265,3,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.75,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,10,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,4,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,20,13.83968561,16,10,TRUE,0,1,0,0.000106833,0.462558899,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982511,30,13.83968561,16,10,TRUE,0,2,0,0.000106833,0.463904184,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982498,40,13.83968561,16,10,TRUE,0,3,,0.000106833,0.46435814,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982476,50,13.83968561,16,10,TRUE,0,4,0,0.000106833,0.465920915,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982449,60,13.83968561,16,10,TRUE,0,5,0,0.000106833,0.466121394,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982527,70,12.60274382,16,10,TRUE,0,6,0,0.000106833,0.433077472,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,80,12.60274382,16,10,TRUE,0,7,0,0.000106833,0.435831446,4,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,90,12.60274382,16,10,TRUE,0,8,0,0.000106833,0.436816261,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982509,100,12.60274382,16,10,TRUE,0,9,0,0.000106833,0.437148927,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982492,150,12.60274382,16,10,TRUE,0,10,0,0.000106833,0.438286591,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982469,200,12.60274382,16,10,TRUE,0,11,0,0.000106833,0.438432265,4,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.75,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,10,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,5,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,20,13.83968561,16,10,TRUE,0,1,0,0.000106833,0.462558899,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982511,30,13.83968561,16,10,TRUE,0,2,0,0.000106833,0.463904184,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982498,40,13.83968561,16,10,TRUE,0,3,,0.000106833,0.46435814,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982476,50,13.83968561,16,10,TRUE,0,4,0,0.000106833,0.465920915,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982449,60,13.83968561,16,10,TRUE,0,5,0,0.000106833,0.466121394,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982527,70,12.60274382,16,10,TRUE,0,6,0,0.000106833,0.433077472,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,80,12.60274382,16,10,TRUE,0,7,0,0.000106833,0.435831446,5,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,90,12.60274382,16,10,TRUE,0,8,0,0.000106833,0.436816261,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982509,100,12.60274382,16,10,TRUE,0,9,0,0.000106833,0.437148927,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982492,150,12.60274382,16,10,TRUE,0,10,0,0.000106833,0.438286591,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982469,200,12.60274382,16,10,TRUE,0,11,0,0.000106833,0.438432265,5,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,0.75,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,1,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,5,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982525,10,13.83968561,16,10,TRUE,0,0,0,0.000106833,0.458804468,6,10,1
47.67887335,7.01,-90,0,562,1,0.32098252,20,13.83968561,16,10,TRUE,0,1,0,0.000106833,0.462558899,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982511,30,13.83968561,16,10,TRUE,0,2,0,0.000106833,0.463904184,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982498,40,13.83968561,16,10,TRUE,0,3,,0.000106833,0.46435814,6,10,1
47.67887335,7.01,-90,0,562,1,0.320982476,50,13.83968561,16,10,TRUE,0,4,0,0.000106833,0.465920915,6,10,1
